職業性ストレス簡易調査票（57 項目）,,,,
A あなたの仕事についてうかがいます。最もあてはまるものに○を付けてください,そうだ,まあそうだ,ややちがう,ちがう
1. 非常にたくさんの仕事をしなければならない,,,,
2. 時間内に仕事が処理しきれない,,,,
3. 一生懸命働かなければならない,,,,
4. かなり注意を集中する必要がある,,,,
5. 高度の知識や技術が必要なむずかしい仕事だ,,,,
6. 勤務時間中はいつも仕事のことを考えていなければならない ,,,,
7. からだを大変よく使う仕事だ,,,,
8. 自分のペースで仕事ができる,,,,
9. 自分で仕事の順番・やり方を決めることができる,,,,
10. 職場の仕事の方針に自分の意見を反映できる,,,,
11. 自分の技能や知識を仕事で使うことが少ない,,,,
12. 私の部署内で意見のくい違いがある,,,,
13. 私の部署と他の部署とはうまが合わない,,,,
14. 私の職場の雰囲気は友好的である,,,,
15. 私の職場の作業環境（騒音、照明、温度、換気など）はよくない,,,,
16. 仕事の内容は自分にあっている,,,,
17. 働きがいのある仕事だ,,,,
B 最近1か月間のあなたの状態についてうかがいます。最もあてはまるものに○を付けてください,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
1. 活気がわいてくる,,,,
2. 元気がいっぱいだ,,,,
3. 生き生きする,,,,
4. 怒りを感じる,,,,
5. 内心腹立たしい,,,,
6. イライラしている,,,,
7. ひどく疲れた,,,,
8. へとへとだ,,,,
9. だるい,,,,
10. 気がはりつめている,,,,
11. 不安だ,,,,
12. 落着かない,,,,
13. ゆううつだ,,,,
14. 何をするのも面倒だ,,,,
15. 物事に集中できない,,,,
16. 気分が晴れない,,,,
17. 仕事が手につかない,,,,
18. 悲しいと感じる,,,,
19. めまいがする,,,,
20. 体のふしぶしが痛む,,,,
21. 頭が重かったり頭痛がする,,,,
22. 首筋や肩がこる,,,,
23. 腰が痛い,,,,
24. 目が疲れる,,,,
25. 動悸や息切れがする,,,,
26. 胃腸の具合が悪い,,,,
27. 食欲がない,,,,
28. 便秘や下痢をする,,,,
29. よく眠れない,,,,
Ｃ あなたの周りの方々についてうかがいます。最もあてはまるものに○を付けてください,非常に,かなり,多少,全くない
次の人たちはどのくらい気軽に話ができますか？,,,,
1. 上司,,,,
2. 職場の同僚,,,,
3. 配偶者、家族、友人等,,,,
あなたが困った時、次の人たちはどのくらい頼りになりますか？,,,,
4. 上司,,,,
5. 職場の同僚,,,,
6. 配偶者、家族、友人等,,,,
あなたの個人的な問題を相談したら、次の人たちはどのくらいきいてくれますか？,,,,
7. 上司,,,,
8. 職場の同僚,,,,
9. 配偶者、家族、友人等,,,,
Ｄ 満足度について,満足,まあ満足,やや不満足,不満足
1. 仕事に満足だ,,,,
2. 家庭生活に満足だ,,,,
