id,question,category1,category2,answer1,answer2,answer3,answer4
1,1. 非常にたくさんの仕事をしなければならない,A あなたの仕事についてうかがいます。最もあてはまるものに○を付けてください,,そうだ,まあそうだ,ややちがう,ちがう
2,2. 時間内に仕事が処理しきれない,A あなたの仕事についてうかがいます。最もあてはまるものに○を付けてください,,そうだ,まあそうだ,ややちがう,ちがう
3,3. 一生懸命働かなければならない,A あなたの仕事についてうかがいます。最もあてはまるものに○を付けてください,,そうだ,まあそうだ,ややちがう,ちがう
4,4. かなり注意を集中する必要がある,A あなたの仕事についてうかがいます。最もあてはまるものに○を付けてください,,そうだ,まあそうだ,ややちがう,ちがう
5,5. 高度の知識や技術が必要なむずかしい仕事だ,A あなたの仕事についてうかがいます。最もあてはまるものに○を付けてください,,そうだ,まあそうだ,ややちがう,ちがう
6,6. 勤務時間中はいつも仕事のことを考えていなければならない,A あなたの仕事についてうかがいます。最もあてはまるものに○を付けてください,,そうだ,まあそうだ,ややちがう,ちがう
7,7. からだを大変よく使う仕事だ,A あなたの仕事についてうかがいます。最もあてはまるものに○を付けてください,,そうだ,まあそうだ,ややちがう,ちがう
8,8. 自分のペースで仕事ができる,A あなたの仕事についてうかがいます。最もあてはまるものに○を付けてください,,そうだ,まあそうだ,ややちがう,ちがう
9,9. 自分で仕事の順番・やり方を決めることができる,A あなたの仕事についてうかがいます。最もあてはまるものに○を付けてください,,そうだ,まあそうだ,ややちがう,ちがう
10,10. 職場の仕事の方針に自分の意見を反映できる,A あなたの仕事についてうかがいます。最もあてはまるものに○を付けてください,,そうだ,まあそうだ,ややちがう,ちがう
11,11. 自分の技能や知識を仕事で使うことが少ない,A あなたの仕事についてうかがいます。最もあてはまるものに○を付けてください,,そうだ,まあそうだ,ややちがう,ちがう
12,12. 私の部署内で意見のくい違いがある,A あなたの仕事についてうかがいます。最もあてはまるものに○を付けてください,,そうだ,まあそうだ,ややちがう,ちがう
13,13. 私の部署と他の部署とはうまが合わない,A あなたの仕事についてうかがいます。最もあてはまるものに○を付けてください,,そうだ,まあそうだ,ややちがう,ちがう
14,14. 私の職場の雰囲気は友好的である,A あなたの仕事についてうかがいます。最もあてはまるものに○を付けてください,,そうだ,まあそうだ,ややちがう,ちがう
15,15. 私の職場の作業環境（騒音、照明、温度、換気など）はよくない,A あなたの仕事についてうかがいます。最もあてはまるものに○を付けてください,,そうだ,まあそうだ,ややちがう,ちがう
16,16. 仕事の内容は自分にあっている,A あなたの仕事についてうかがいます。最もあてはまるものに○を付けてください,,そうだ,まあそうだ,ややちがう,ちがう
17,17. 働きがいのある仕事だ,A あなたの仕事についてうかがいます。最もあてはまるものに○を付けてください,,そうだ,まあそうだ,ややちがう,ちがう
18,1. 活気がわいてくる,B 最近1か月間のあなたの状態についてうかがいます。最もあてはまるものに○を付けてください,,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
